Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-1252.01	-1463.338	211.3278	0.8639259	6.023031	1.050382	0.738972	0.261028	2.684275
6	-1238.188	-1450.464	212.2753	1.031058	5.996913	1.050382	0.751614	0.248386	1.977248
12	-1240.957	-1452.55	211.5931	0.8745176	4.475779	2.362902	0.649546	0.350454	2.206516
18	-1241.992	-1453.202	211.2103	0.6935328	6.008623	1.9218	0.709285	0.290715	2.457197
24	-1247.687	-1458.15	210.4631	0.7025941	5.259882	1.9218	0.668979	0.331021	3.025559
30	-1242.362	-1453.056	210.694	0.6616933	6.380896	1.462206	0.808398	0.191602	2.929756
36	-1244.29	-1454.846	210.5555	0.6810167	6.242771	1.368172	0.801414	0.198586	3.063843
42	-1240.394	-1451.384	210.9899	0.5872691	6.809712	1.109705	0.778995	0.221005	2.914914
48	-1236.6	-1447.14	210.5395	0.5605937	5.565757	1.166453	0.726842	0.273158	3.342858
54	-1238.926	-1449.384	210.458	0.7614553	5.565757	1.172691	0.676881	0.323119	3.269285
60	-1237.208	-1448.062	210.8536	0.6920215	6.782281	1.066432	0.788824	0.211176	2.961991
66	-1246.769	-1458.592	211.8229	0.9572591	6.052006	1.190904	0.788824	0.211176	2.229164
72	-1250.697	-1461.85	211.1522	0.7150536	5.008893	1.720612	0.743485	0.256515	2.719434
78	-1258.088	-1468.35	210.2619	0.6848354	5.008893	2.052268	0.71403	0.28597	3.151378
84	-1245.671	-1456.156	210.4847	0.7424365	5.008893	1.736048	0.71403	0.28597	3.099895
90	-1245.913	-1455.673	209.7593	0.5727029	5.320701	2.021686	0.729082	0.270918	3.473724
96	-1236.283	-1446.431	210.1481	0.7109979	4.438677	2.021686	0.636763	0.363237	3.312891
102	-1231.737	-1441.367	209.6294	0.7503361	4.267158	1.273026	0.692908	0.307092	3.922571
108	-1241.215	-1450.744	209.5292	0.7941223	3.966583	1.47028	0.772326	0.227674	3.922571
114	-1239.737	-1450.375	210.6387	0.7064843	5.52463	1.817643	0.734322	0.265678	2.91444
120	-1234.959	-1445.703	210.7439	0.6552533	5.52463	1.666992	0.690779	0.309221	2.941305
126	-1249.839	-1458.937	209.0975	0.4465721	5.52463	1.355732	0.690779	0.309221	4.155478
132	-1244.225	-1455.23	211.0051	0.7993928	7.51204	1.223638	0.806368	0.193632	2.624866
